case,freq,mag_db,phase_rad
FndrTMB:noon,1000,-25.5002491883,0.282726404461
FndrTMB:noon,2000,-22.7926264743,0.388037713878
FndrTMB:noon,4000,-20.806601482,0.2846231489
FndrTMB:noon,8000,-20.0218016003,0.160834326886
FndrTMB:noon,16000,-19.7937256031,0.0831467345545
FndrTMB:bass10,31.5,-11.6203190329,-0.514187616391
FndrTMB:bass10,63,-15.565892655,-0.819866073724
FndrTMB:bass10,125,-20.527769782,-0.869115625023
FndrTMB:bass10,250,-25.1094299322,-0.62994314261
FndrTMB:bass10,500,-27.2842958787,-0.153035897786
FndrTMB:bass10,1000,-25.8573331268,0.272859014146
FndrTMB:bass10,2000,-22.8744416015,0.387828820355
FndrTMB:bass10,4000,-20.8254461822,0.284670366167
FndrTMB:bass10,8000,-20.0263606409,0.160843814713
FndrTMB:bass10,16000,-19.7948543494,0.083148053883
